time:311897, score:-375.000000, speed:0.696656
time:312906, score:-377.000000, speed:0.497265
time:313910, score:-379.000000, speed:0.198866
time:314914, score:-378.000000, speed:0.198847
time:315920, score:-380.000000, speed:-0.099394
time:316925, score:-382.000000, speed:-0.596362
time:317927, score:-385.000000, speed:-0.895166
time:318936, score:-387.000000, speed:-0.994431
time:319938, score:-390.000000, speed:-1.292889
time:320943, score:-390.000000, speed:-1.392342
time:321949, score:-389.000000, speed:-1.392758
time:322951, score:-388.000000, speed:-1.094963
time:323957, score:-391.000000, speed:-1.194386
time:324966, score:-390.000000, speed:-1.193792
time:325971, score:-391.000000, speed:-1.094418
time:326975, score:-393.000000, speed:-1.094527
time:327980, score:-394.000000, speed:-0.895255
time:328985, score:-393.000000, speed:-0.597074
time:329995, score:-393.000000, speed:-0.298300
time:331002, score:-394.000000, speed:-0.397693
time:332006, score:-391.000000, speed:-0.198866
time:333014, score:-392.000000, speed:-0.397496
time:334020, score:-391.000000, speed:0.000000
time:335029, score:-393.000000, speed:-0.298122
time:336033, score:-393.000000, speed:-0.198768
time:337038, score:-394.000000, speed:-0.099374
time:338046, score:-394.000000, speed:0.000000
time:339049, score:-395.000000, speed:-0.198728
time:340050, score:-396.000000, speed:-0.298359
time:341054, score:-398.000000, speed:-0.397891
time:342056, score:-400.000000, speed:-0.895612
time:343057, score:-402.000000, speed:-0.995718
time:344059, score:-405.000000, speed:-1.394561
time:345063, score:-403.000000, speed:-0.996612
time:346072, score:-404.000000, speed:-1.095727
time:347073, score:-402.000000, speed:-0.797210
time:348082, score:-403.000000, speed:-0.896861
time:349083, score:-403.000000, speed:-0.797289
time:350087, score:-402.000000, speed:-0.597788
time:351089, score:-403.000000, speed:-0.498256
time:352091, score:-403.000000, speed:-0.298954
time:353099, score:-405.000000, speed:-0.298745
time:354108, score:-405.000000, speed:0.000000
time:355111, score:-405.000000, speed:-0.199045
time:356120, score:-406.000000, speed:-0.199045
time:357124, score:-406.000000, speed:-0.397970
time:358126, score:-408.000000, speed:-0.497760
time:359128, score:-408.000000, speed:-0.497760
time:360132, score:-409.000000, speed:-0.696864
time:361134, score:-411.000000, speed:-0.796416
time:362136, score:-411.000000, speed:-0.796337
time:363138, score:-412.000000, speed:-0.697281
time:364140, score:-411.000000, speed:-0.598086
time:365142, score:-414.000000, speed:-0.897219
time:366149, score:-415.000000, speed:-0.897487
time:367153, score:-415.000000, speed:-0.897487
time:368157, score:-414.000000, speed:-0.598146
time:369166, score:-414.000000, speed:-0.597729
time:370168, score:-415.000000, speed:-0.597848
time:371172, score:-414.000000, speed:-0.298864
time:372181, score:-413.000000, speed:-0.199104
time:373187, score:-414.000000, speed:-0.199025
time:374192, score:-415.000000, speed:-0.397970
time:375194, score:-417.000000, speed:-0.298448
time:376197, score:-420.000000, speed:-0.497611
time:377201, score:-420.000000, speed:-0.497562
time:378207, score:-418.000000, speed:-0.398010
time:379211, score:-420.000000, speed:-0.597312
time:380220, score:-420.000000, speed:-0.497413
time:381228, score:-423.000000, speed:-0.894988
time:382231, score:-426.000000, speed:-1.293532
time:383235, score:-428.000000, speed:-1.393312
time:384238, score:-428.000000, speed:-1.294047
time:385239, score:-429.000000, speed:-1.194624
time:386248, score:-429.000000, speed:-0.895344
time:387249, score:-428.000000, speed:-0.796178
time:388255, score:-430.000000, speed:-1.194268
time:389260, score:-430.000000, speed:-0.995124
time:390266, score:-432.000000, speed:-1.194624
time:391271, score:-434.000000, speed:-1.095290
time:392273, score:-435.000000, speed:-0.896236
time:393281, score:-434.000000, speed:-0.597253
